k,t,Qnum,Qlevel,Qlength,approach,time,size
140,3,0,0,4,f-chip,1652.654,299.4
140,3,0,0,5,f-chip,1604.528,299.2
200,2,0,0,2,f-chip,23.13926,46
200,2,0,0,3,f-chip,23.54288,46.2
200,2,0,0,4,f-chip,22.90778,45.8
200,2,0,0,5,f-chip,23.37144,45.6
200,3,0,0,2,f-chip,3477.816,329.4
200,3,0,0,3,f-chip,3488.27,328.8
200,3,0,0,4,f-chip,3488.644,329
200,3,0,0,5,f-chip,3370.494,329.6
20,2,26,3,2,f-chip,2.777676,26
20,2,26,3,3,f-chip,2.594012,25.6
20,2,26,3,4,f-chip,2.2613,25.4
20,2,26,3,5,f-chip,2.416526,25.6
20,3,26,3,2,f-chip,58.84226,128.8
20,3,26,3,3,f-chip,64.99716,127.6
20,3,26,3,4,f-chip,61.95962,127.2
20,3,26,3,5,f-chip,52.6239,127.6
80,2,53,3,2,f-chip,7.957098,38.4
80,2,53,3,3,f-chip,7.20556,38.4
80,2,53,3,4,f-chip,7.530468,38.4
80,2,53,3,5,f-chip,7.679748,38.4
80,3,53,3,2,f-chip,452.6966,247.6
80,3,53,3,3,f-chip,556.444,246.8
80,3,53,3,4,f-chip,535.435,246.6
80,3,53,3,5,f-chip,536.8214,245.6
140,2,70,3,2,f-chip,14.72672,43.2
140,2,70,3,3,f-chip,15.12578,43.6
140,2,70,3,4,f-chip,14.87426,43.4
140,2,70,3,5,f-chip,14.30402,43.4
140,3,70,3,2,f-chip,1501.914,300
140,3,70,3,3,f-chip,1484.864,298.8
140,3,70,3,4,f-chip,1567.702,299.8
140,3,70,3,5,f-chip,1566.226,299
200,2,84,3,2,f-chip,21.43434,45.6
200,2,84,3,3,f-chip,20.18922,45.6
200,2,84,3,4,f-chip,21.31386,46
200,2,84,3,5,f-chip,20.33922,45.8
200,3,84,3,2,f-chip,3457.972,330.2
200,3,84,3,3,f-chip,3314.258,329.2
200,3,84,3,4,f-chip,3401.28,329.4
200,3,84,3,5,f-chip,3395.362,329.8
20,2,53,6,2,f-chip,2.12446,26.8
20,2,53,6,3,f-chip,2.393654,25.6
20,2,53,6,4,f-chip,2.669498,25.6
20,2,53,6,5,f-chip,2.87553,26
20,3,53,6,2,f-chip,41.61842,134.8
20,3,53,6,3,f-chip,55.39542,129.4
20,3,53,6,4,f-chip,73.16114,128.2
20,3,53,6,5,f-chip,56.26586,128.2
80,2,107,6,2,f-chip,7.519364,38.8
80,2,107,6,3,f-chip,8.121542,38.2
80,2,107,6,4,f-chip,8.17124,38.2
80,2,107,6,5,f-chip,8.044246,38.2
80,3,107,6,2,f-chip,492.6324,250.8
80,3,107,6,3,f-chip,516.04,247.2
80,3,107,6,4,f-chip,540.5936,246.6
80,3,107,6,5,f-chip,537.9532,246.2
140,2,141,6,2,f-chip,16.37136,43.4
140,2,141,6,3,f-chip,15.60394,43.2
140,2,141,6,4,f-chip,15.22092,43.4
140,2,141,6,5,f-chip,15.2376,43.4
140,3,141,6,2,f-chip,1493.67,302.4
140,3,141,6,3,f-chip,1547.128,299
140,3,141,6,4,f-chip,1620.604,299.4
140,3,141,6,5,f-chip,1624.42,299.4
200,2,169,6,2,f-chip,22.41996,45.4
